CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1545,  Americas,,1480,,690,,790,,15.6,,14.1,,17.1,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1546,    Brazil,,80,,30,,45,,0.8,,0.6,,1,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1547,    Colombia,,120,,60,,65,,1.3,,1.2,,1.4,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1548,    El Salvador,,20,,15,,10,,0.2,,0.3,,0.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1549,    Guyana,,10,,0,,0,,0.1,,0,,0,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1550,    Haiti,,10,,10,,0,,0.1,,0.2,,0,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1551,    Jamaica,,145,,65,,80,,1.5,,1.3,,1.7,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1552,    Mexico,,10,,0,,10,,0.1,,0,,0.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1553,    Peru,,10,,0,,10,,0.1,,0,,0.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1554,    Trinidad and Tobago,,45,,25,,20,,0.5,,0.5,,0.4,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1555,    United States of America,,815,,405,,410,,8.6,,8.3,,8.9,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1556,    Other places of birth in Americas,,215,,90,,130,,2.3,,1.8,,2.8,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1557,  Europe,,2585,,1500,,1085,,27.2,,30.6,,23.5,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1558,    Bosnia and Herzegovina,,40,,25,,10,,0.4,,0.5,,0.2,
2021,2021S0503001,1,Census metropolitan area,St. John's,2.9,4.1,0,1559,    Croatia,,30,,20,,10,,0.3,,0.4,,0.2,
